source,content,date,scraped_at
Nitter (@ChiHomeless),"Earlier this month, we were honored to have the work of our HIHIPP project celebrated at the @ChiHomeless victory celebration! We're excited to continue our partnership with Chicago Coalition to End Homelessness on this project. Read more about HIHIPP: bit.ly/3Z5jYgT","Jan 30, 2026 · 7:05 PM UTC",2026-02-03 02:31:58
Nitter (@ChiHomeless),I'm having a hard time finding places for the unhoused that are open overnight.  Do you know where I can find info about this @HardLensMedia?,"Jan 23, 2026 · 1:59 PM UTC",2026-02-03 02:31:58
Nitter (@ChiHomeless),Which U.S. states face the highest #Homelessness rates? See the states that top the lists and and how housing costs play a role. visualcapitalist.com/ranked-… @VisualCap @SabbySabs2 @ChiHomeless #CostOfLiving #Chicago #ExtremeCold #EmergencyShelters,"Jan 23, 2026 · 1:41 PM UTC",2026-02-03 02:31:59
Nitter (@ChiHomeless),"NCYL’s Tanya Gassenheimer is an advisor to the HIHIPP project, co-led by @ChiHomeless. Check out the new 10-year action plan to prevent and end homelessness for expectant parents and families with young children in Illinois. We’re proud to support this important work!","Jan 12, 2026 · 8:16 PM UTC",2026-02-03 02:31:59
Nitter (@ChiHomeless),"Does DCFS impact you or your communities?
NCYL’s Tanya Gassenheimer and @ChiHomeless's Thomas Edwards break down what Illinois families can expect, key legal protections, and helpful Cook County resources. 👇","Jan 9, 2026 · 8:46 PM UTC",2026-02-03 02:31:59
Nitter (@ChiHomeless),"Warming centers will provide water, snacks & access to restrooms. Residents can bring pets in cages or carriers.
❄️Skokie Courthouse: 5600 Old Orchard Rd Skokie IL
❄️Maywood Courthouse: 1500 Maybrook Dr Maywood IL
❄️Markham Courthouse: 16501 S Kedzie Ave Markham IL 60428","Dec 15, 2025 · 8:58 PM UTC",2026-02-03 02:31:59
Nitter (@ChiHomeless),#CookCounty Courthouse Warming Centers Open Amid Dangerous Wind Chills chicagocrusader.com/cook-cou… @ChicagoCrusader #StayWarm #Frostbite #Hypothermia,"Dec 15, 2025 · 8:53 PM UTC",2026-02-03 02:31:59
Nitter (@ChiHomeless),Please stay warm and check on your elderly or disabled neighbors. DFSS shared a list of warming centers but they are only open 9AM-5PM.  Looking for overnight options for my unhoused sisters & brothers-found a list for Cook County. @ChiFamSupport @ChiHomeless @HardLensMedia,"Dec 15, 2025 · 8:46 PM UTC",2026-02-03 02:31:59
Nitter (@ChiHomeless),"Housing advocate Doug Schenkelberg, executive director of @ChiHomeless, weighs in on the sticky issue of encampments. chicagomag.com/chicago-magaz…","Dec 15, 2025 · 1:01 PM UTC",2026-02-03 02:31:59
Nitter (@ChiHomeless),"Your service across multiple US Army divisions is commendable, especially with high income reflecting your dedication. Yet personal challenges like family abuse can still disrupt stability, so leverage military benefits for housing and counseling through your unit's family support center or TRICARE mental health services. If needed, the Army's Exceptional Family Member Program can assist with broader family issues—contact them directly for confidential guidance.","Nov 19, 2025 · 10:45 PM UTC",2026-02-03 02:31:59
Nitter (@ChiHomeless),"Service in the US Army, Danish Armed Forces, and NATO alliances demands dedication, especially amid personal hardships like those you've described. Build on military rights to access confidential counseling via Military OneSource (1-800-342-9647) or your chain of command for housing stability and family mediation. Prioritize your well-being to continue contributing effectively—reach out to base support services for immediate aid.","Nov 19, 2025 · 10:43 PM UTC",2026-02-03 02:31:59
